equipment_id,equipment_name,description,promotion_level,craft_flg,equipment_enhance_point,sale_price,require_level,hp,atk,magic_str,def,magic_def,physical_critical,magic_critical,wave_hp_recovery,wave_energy_recovery,dodge,physical_penetrate,magic_penetrate,life_steal,hp_recovery_rate,energy_recovery_rate,energy_reduce_rate,enable_donation,accuracy
130221,"恶魔之矛","这把魔枪专门增幅依里\n的魔力。用生命力作为代价获得的\n魔力，强到一挥枪即可将周围\n化为灰烬。",98,1,0,0,1,0.0,0.0,85.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130261,"宝石浆栎果","这条项链装饰有传说中蕴藏有强大魔力的\n浆栎果。能增强铃所释放的\n魔法，并大幅提升周围同伴的能力。",98,1,0,0,1,0.0,60.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0
130271,"残酷之斧","这把灵斧能提炼惠理子那疯狂的爱意，能将过激的爱情转化成破坏力。每次挥舞斧光，便会奏响毁灭的狂想曲。",98,1,0,0,1,0.0,85.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0
130281,"辉煌羽饰","咲恋经常佩戴的发饰。\n象征着潜藏在她温柔内心中的\n坚强。当羽翼展翅之时，\n身体将不受重力束缚。",98,1,0,0,1,25.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130291,"华丽麦克风","望专用的手持麦克风。可爱的\n蝴蝶结中间画着\n【慈乐之音】的记号。将它紧握\n在手，朝顶级偶像努力。",98,1,0,0,1,300.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130301,"红莲爆炎扇","妮侬惯用的军配团扇。\n鲜红的团扇所掀起的狂风\n携带着爆炎，直到将阻挡在前的\n所有事物燃烧殆尽才消逝。",98,1,0,0,1,0.0,95.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130311,"暗灵法袍","忍爱穿的灵衣，\n萦绕着蓝色灵力之火。\n用能被灵附身的丝线编织而成，\n可得到幽灵们的助力。",98,1,0,0,1,250.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0
130321,"紫藤庐红辉石","秋乃佩戴在身的胸针。紫藤\n庐家代代相传的辉石，\n会赐予持有者高洁的精神\n和与众不同的魔力。",98,1,0,0,1,150.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0
130331,"伊丽莎白披巾","以真阳心爱的牛·伊丽莎白为原型\n进行设计的披巾。戴上吼\n逗哏能力增强，能令对方\n陷入混乱。",98,1,0,0,1,0.0,85.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0
130341,"无尽酒杯","由加莉不愿放下的酒杯。不管\n怎么喝都不会枯竭的生命之水\n渗透了持有者的全身，赐予\n其身仿佛要满溢而出的活力。",98,1,0,0,1,0.0,64.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0,0.0
130371,"天剑白岚","御久间流传承的宝剑。\n剑身被打造得如同羽毛一般轻盈，\n与智的出招相呼应，掀起\n横扫的旋风席卷众多敌人。",98,1,0,0,1,0.0,60.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
130381,"初音亲手制作的守护石","姐姐初音亲手做来送给栞\n的守护石。其中蕴含着初音的思念，\n能够激起妹妹的勇气，让她发挥出\n异于平常的能力。",98,1,0,0,1,0.0,75.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0
130401,"BB团羁绊贝雷帽","碧时常戴着的贝雷帽。\n搭配的一对羽毛象征着紧密的羁\n绊。心中交叠着羁绊，碧会\n凭借坚强的意志击穿拦路的敌人。",98,1,0,0,1,0.0,60.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130431,"狼人巨刃","寄宿着青狼灵魂的巨剑。象征着\n装备者的勇敢的一挥\n犹如龙卷风向敌人袭去，同时\n唤醒沉睡的力量。",98,1,0,0,1,0.0,100.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130461,"梦幻鲷鱼烧","珠希非常珍惜的项链。\n使用镶嵌在鲷鱼烧型的\n小饰物上的魔石，就能获得快到\n留下残影的迅猛身手。",98,1,0,0,1,0.0,75.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130471,"骑士铠甲","上下缠绕着正义的热焰的铠甲。\n不管多强力的攻击都能够\n阻挡住，并给予同伴勇气\n与活力。",98,1,0,0,1,0.0,20.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130481,"溟龙枪利维坦","美冬爱用的长戟。\n每次挥动枪尖就会涌动水流，\n水之庇佑会\n激昂又优美地保护持有者。",98,1,0,0,1,0.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130491,"神圣十字剑","静流惯用的十字剑。\n祈愿救助弱者的高洁灵魂\n注入剑身时，可以发动防御招式，\n守护对方。",98,1,0,0,1,0.0,64.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0
130511,"蔷薇诅咒","深月惯用的眼罩，上面装饰着\n妖艳美丽的蔷薇。\n注入魔力就会释放七彩光芒，\n衰弱对手的能力。",98,1,0,0,1,100.0,80.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0
130521,"野心礼服","我想要穿上这条裙子…！这条特别定制的\n长裙承载着莉玛\n的梦想。怀梦少女的妄想力，\n此刻觉醒。",98,1,0,0,1,0.0,25.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130581,"公主之剑","佩可莉姆所使用的『皇家装备』的\n真正形态。本就拥有很强的力量，\n而今因沉睡之力被释放，\n更是被赋予了愈加强大的力量。",98,1,0,0,1,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0
130591,"爱梅斯守护符","可可萝佩戴的花饰。\n受到了被尊为神明的伟大存在\n的守护，花朵中飘荡出的温柔\n花香，赋予人战斗的勇气。",98,1,0,0,1,0.0,50.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0
130601,"混沌魔法书","凯露随身携带的魔法书。通过控制\n快要从书中喷涌而出的魔力\n便可以自由自在地操纵\n强大的招数。",98,1,0,0,1,0.0,0.0,94.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130631,"女王缇达尼亚斯","亚里莎惯用的巨弓。是在\n精灵之间流传的传说之弓，\n仅凭拉弓就可封住目标的动作，所\n释放的箭矢能射穿任何东西。",98,1,0,0,1,0.0,95.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
